htmlBody,scriptTag,hexadecimalURLs,domainsCount,dotsCount,isAccountTerm,isDearTeam,imagesAsURL,ipUrls,isPayPalTerm,isLoginTerm,isBankTerm,isVerifyTerm,isAgreeTerm,isSuspendTerm,phishingTermsWeight,domainSender,isPhishing
True,True,0,7,3,False,False,121,0,True,False,False,False,False,False,2.382271463157895,False,False
True,False,0,36,2,False,False,11,0,False,False,False,False,False,False,3.0332410000000003,True,False
True,True,0,21,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
True,False,15,30,4,False,False,6,0,False,False,True,False,True,False,3.7340720210526315,True,False
True,False,0,6,2,False,False,66,0,False,False,False,False,False,False,1.3795014105263157,False,False
True,True,0,11,2,False,False,223,0,False,False,False,False,False,False,2.235457052631579,True,False
False,False,0,1,2,False,False,0,0,False,False,False,False,False,False,0.0,True,False
True,False,0,40,2,False,False,10,0,False,False,False,False,False,False,2.235457052631579,True,False
True,False,0,3,2,False,True,0,0,True,False,False,False,False,False,4.933518015789473,False,False
True,False,0,2,2,True,False,0,0,False,False,False,False,False,False,1.7451523157894737,False,False
True,False,0,37,2,False,False,11,0,False,False,False,False,False,False,4.6592798,True,False
True,True,0,11,3,False,False,83,0,False,False,False,False,False,False,2.3213296842105264,False,False
True,False,0,2,2,False,False,1,0,False,False,False,False,False,False,2.235457052631579,False,False
True,True,0,21,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
False,False,0,1,2,False,False,0,0,False,False,False,False,False,False,0.7977839473684211,False,False
False,False,0,2,2,False,True,0,0,False,False,False,False,False,False,3.4404432105263156,False,False
True,True,0,6,2,False,False,136,0,False,False,False,False,False,False,3.224376736842105,False,False
False,False,0,2,3,False,False,0,0,False,False,True,False,False,False,3.6509695263157895,True,False
False,False,0,6,139,False,False,0,0,False,False,False,False,False,False,2.235457052631579,False,False
True,False,0,1,5,False,False,0,0,False,False,False,False,False,False,0.0,True,False
True,True,0,18,2,False,False,48,0,False,False,False,False,False,False,3.224376736842105,False,False
False,False,0,5,8,True,False,0,0,False,False,True,True,False,False,5.135733989473684,False,False
True,False,0,39,4,False,False,10,0,False,False,False,False,False,False,3.0332410000000003,True,False
True,False,0,17,16,True,True,0,0,False,False,True,False,False,False,5.066481957894736,True,False
True,False,0,45,2,False,False,17,0,False,False,False,False,False,False,3.0332410000000003,True,False
True,True,0,10,3,False,False,114,0,True,False,False,False,False,False,1.4792244105263157,False,False
True,False,0,36,2,False,False,11,0,False,False,False,False,False,False,2.235457052631579,True,False
True,True,0,5,2,False,True,53,0,False,False,False,False,False,False,3.3351801052631576,False,False
True,True,0,7,2,False,False,85,0,False,False,False,False,False,False,2.235457052631579,False,False
False,False,0,1,2,False,False,1,0,False,False,False,False,False,False,0.0,True,False
True,False,0,12,3,False,False,115,0,False,False,False,False,True,False,2.4044321789473684,False,False
True,False,0,11,3,False,False,86,0,False,False,False,False,False,False,2.235457052631579,False,False
False,False,0,2,2,False,False,0,0,False,False,False,False,False,False,1.786703631578947,False,False
True,False,0,0,0,False,False,0,0,False,False,False,False,False,False,0.0,False,False
False,False,0,2,2,True,False,0,0,False,False,False,False,False,False,3.349030378947368,False,False
False,False,0,1,2,True,False,0,0,False,False,False,False,False,False,1.7451523157894737,False,False
True,False,0,3,2,True,False,27,0,False,True,False,False,False,False,5.612188342105263,True,False
True,True,0,11,3,False,False,79,0,False,False,False,False,False,False,3.224376736842105,False,False
False,False,0,5,2,False,False,0,0,False,False,False,False,False,False,2.235457052631579,False,False
True,False,0,6,3,False,False,9,0,False,False,False,False,False,False,2.8725761684210522,False,False
True,True,0,5,2,False,False,140,0,False,False,False,False,False,False,3.224376736842105,False,False
True,True,0,4,2,True,False,40,0,False,False,False,False,False,False,3.0775623157894736,False,False
False,False,0,2,2,False,False,0,0,False,False,False,False,False,False,2.368421094736842,False,False
True,False,0,19,3,False,True,70,0,False,False,False,False,False,False,3.4875346210526317,False,False
False,False,0,1,7,False,True,0,0,False,False,False,False,True,False,3.523545705263158,False,False
True,False,0,34,2,True,False,11,0,False,False,False,True,False,False,5.39058167368421,True,False
True,False,0,12,3,False,False,81,0,False,False,False,False,False,False,2.235457052631579,False,False
True,False,2,2,2,False,False,37,0,False,False,False,False,False,False,3.0803324105263155,False,False
True,False,0,5,3,False,True,1,0,False,True,False,False,False,False,4.132963984210527,True,False
True,False,0,12,3,False,False,88,0,False,False,False,False,False,False,2.3213296842105264,False,False
False,False,1,3,5,True,False,0,0,False,False,False,False,False,False,4.617728484210526,False,False
True,True,0,11,3,False,False,75,0,False,False,False,False,False,False,2.235457052631579,False,False
True,True,0,18,3,False,False,28,0,False,False,False,False,False,False,3.412742447368421,False,False
True,True,0,5,2,False,True,77,0,False,False,False,False,False,False,3.526315842105263,False,False
True,True,0,7,3,False,False,106,0,False,False,False,False,False,False,3.0332410000000003,False,False
True,False,0,40,3,False,False,10,0,False,False,False,False,False,False,3.0332410000000003,True,False
False,False,0,7,3,False,False,0,0,False,True,False,False,False,False,2.1357341052631575,False,False
True,False,0,7,3,True,False,0,0,False,False,False,False,False,False,5.155124615789473,False,False
False,False,0,2,3,False,False,0,0,False,False,False,False,False,False,3.224376736842105,True,False
True,False,15,30,4,False,False,6,0,False,False,False,False,True,False,3.307479231578947,True,False
True,False,0,11,3,False,False,12,0,False,False,False,False,False,False,4.3157895,True,False
True,True,0,11,3,False,False,60,0,False,False,False,False,False,False,2.3213296842105264,False,False
True,False,3,49,3,False,False,17,0,False,False,False,False,False,False,3.0332410000000003,True,False
True,True,0,6,2,False,False,140,0,False,False,False,False,True,False,4.105263178947368,False,False
True,True,0,16,2,False,False,50,0,False,False,False,False,False,False,3.224376736842105,False,False
True,False,0,6,4,False,False,0,0,False,False,False,False,False,False,0.9889196842105262,True,False
False,False,0,0,0,False,False,0,0,False,False,False,False,False,False,0.0,True,False
False,False,0,1,3,False,False,0,0,False,False,False,False,False,False,1.33241,True,False
True,True,0,21,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
True,True,0,20,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
True,False,0,7,6,False,False,0,0,False,False,False,False,False,False,2.235457052631579,False,False
True,False,0,7,3,True,False,17,0,False,False,False,False,False,False,5.767312999999999,True,False
True,True,0,21,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
True,False,0,7,3,False,True,78,0,False,False,False,False,False,False,3.526315842105263,False,False
False,False,0,4,2,False,False,0,0,False,False,True,False,False,False,0.42659278947368423,False,False
True,True,0,10,3,False,False,115,0,True,False,False,False,False,False,2.468144094736842,False,False
False,False,0,4,4,False,False,0,0,False,False,False,False,False,False,1.33241,False,False
False,False,0,2,3,False,False,0,0,False,False,False,False,False,False,1.174515247368421,True,False
False,False,0,1,2,False,False,0,0,False,False,False,False,False,False,1.5401661684210524,False,False
True,True,0,9,3,False,False,64,0,False,False,False,False,False,False,2.3213296842105264,False,False
False,False,0,8,3,False,False,0,0,False,False,False,False,False,False,3.0332410000000003,False,False
False,False,0,2,3,False,False,0,0,False,False,False,False,False,False,3.246537401578947,True,False
True,False,0,2,4,False,False,0,0,False,False,False,False,False,False,2.4210526157894736,False,False
True,True,0,10,3,False,False,115,0,False,False,True,False,False,False,1.8060941999999998,False,False
True,False,0,22,3,False,True,44,0,False,False,False,False,False,False,4.429362894736842,False,False
True,False,0,5,2,False,True,53,0,False,False,False,False,False,False,3.4404432105263156,False,False
True,False,0,47,5,False,False,21,0,False,False,False,False,False,False,2.235457052631579,True,False
False,False,0,6,2,False,False,0,0,False,True,False,False,False,False,2.288088621052631,False,False
True,False,0,48,5,False,False,22,0,False,False,False,False,False,False,2.235457052631579,True,False
True,False,0,1,4,False,False,0,0,False,False,False,True,False,False,0.565096947368421,True,False
True,False,0,6,2,False,False,56,0,False,False,False,False,False,False,1.33241,False,False
True,False,106,9,2,False,False,147,0,False,False,False,False,False,False,2.235457052631579,False,False
True,True,0,21,2,True,False,16,0,False,True,False,False,False,False,4.673130142105263,False,False
